date,region,cliAdmissions,testPositivity,positiveTests,totalTests,surge,icu
2020-06-30T00:00:00,7,10.0,4.5,95,2287,0.349593496,0.38697318
2020-06-30T00:00:00,8,13.0,3.8,107,3226,0.368734665,0.501144165
2020-06-30T00:00:00,9,7.0,3.2,62,1954,0.419849537,0.494832041
2020-06-30T00:00:00,10,22.0,4.5,288,6624,0.316818774,0.43030303
2020-06-30T00:00:00,11,31.0,4.7,304,7151,0.347749338,0.453056081
2020-06-30T00:00:00,14,0.0,1.5,35,1425,,
2020-07-01T00:00:00,1,5.0,3.1,25,1072,0.498238196,0.691068814
2020-07-01T00:00:00,2,5.0,3.1,80,2431,0.426564496,0.466883822
2020-07-01T00:00:00,3,1.0,1.6,24,1298,0.408508159,0.641666667
2020-07-01T00:00:00,4,3.0,5.1,44,1042,0.358823529,0.417302799
2020-07-01T00:00:00,5,1.0,2.2,9,484,0.514403292,0.553264605
2020-07-01T00:00:00,6,3.0,1.6,39,1826,0.413260672,0.47752809
2020-07-01T00:00:00,7,10.0,4.5,76,1864,0.335365854,0.390804598
2020-07-01T00:00:00,8,12.0,3.9,147,3392,0.353838065,0.485125858
2020-07-01T00:00:00,9,7.0,3.2,57,1742,0.403935185,0.481912145
2020-07-01T00:00:00,10,23.0,4.5,255,6078,0.302824859,0.411407767
2020-07-01T00:00:00,11,29.0,4.6,266,6601,0.329288026,0.435265105
2020-07-01T00:00:00,14,0.0,1.6,39,1826,,
2020-07-02T00:00:00,1,4.0,3.2,37,1098,0.489076815,0.708879185
2020-07-02T00:00:00,2,5.0,3.2,107,2965,0.422733078,0.495114007
2020-07-02T00:00:00,3,2.0,1.8,26,1540,0.407634033,0.5875
2020-07-02T00:00:00,4,3.0,5.2,57,1146,0.355686275,0.419847328
2020-07-02T00:00:00,5,1.0,1.9,8,407,0.516095535,0.549828179
2020-07-02T00:00:00,6,3.0,1.6,45,2368,0.385312783,0.481273408
2020-07-02T00:00:00,7,11.0,4.4,66,1545,0.317886179,0.388888889
2020-07-02T00:00:00,8,12.0,3.8,118,3634,0.333158079,0.468296409
2020-07-02T00:00:00,9,7.0,3.4,95,2090,0.399826037,0.496124031
2020-07-02T00:00:00,10,23.0,4.4,289,6532,0.290656236,0.392871608
2020-07-02T00:00:00,11,30.0,4.5,350,7870,0.314724919,0.414229726
2020-07-02T00:00:00,14,0.0,1.6,45,2368,,
2020-07-03T00:00:00,1,4.0,3.1,36,1051,0.510923185,0.694323144
2020-07-03T00:00:00,2,4.0,3.1,96,2580,0.420361248,0.495114007
2020-07-03T00:00:00,3,3.0,1.7,24,1424,0.417832168,0.535416667
2020-07-03T00:00:00,4,3.0,4.8,45,1127,0.363064833,0.432569975
2020-07-03T00:00:00,5,1.0,2.0,11,301,0.529718457,0.573883162
2020-07-03T00:00:00,6,3.0,1.8,42,1852,0.393432836,0.475655431
2020-07-03T00:00:00,7,10.0,4.3,86,1538,0.319105691,0.390804598
2020-07-03T00:00:00,8,13.0,3.8,107,3017,0.346126884,0.478959449
2020-07-03T00:00:00,9,7.0,3.4,73,2203,0.407902382,0.520671835
2020-07-03T00:00:00,10,22.0,4.4,235,6259,0.291177749,0.393349554
2020-07-03T00:00:00,11,32.0,4.4,431,9385,0.31899088,0.406489676
2020-07-03T00:00:00,14,0.0,1.8,42,1852,,
2020-07-04T00:00:00,1,4.0,3.1,39,1126,0.523255814,0.695778748
2020-07-04T00:00:00,2,5.0,3.0,67,2202,0.443167305,0.512486428
2020-07-04T00:00:00,3,3.0,1.9,23,877,0.437354312,0.491666667
2020-07-04T00:00:00,4,4.0,4.8,74,1286,0.372332016,0.430025445
2020-07-04T00:00:00,5,1.0,2.1,22,567,0.557053942,0.567010309
2020-07-04T00:00:00,6,3.0,1.8,36,1716,0.4237688,0.466292135
2020-07-04T00:00:00,7,10.0,4.3,67,1167,0.320325203,0.381226054
2020-07-04T00:00:00,8,13.0,3.7,104,2550,0.376796355,0.510344828
2020-07-04T00:00:00,9,7.0,3.6,62,1558,0.42852984,0.552971576
2020-07-04T00:00:00,10,22.0,4.3,258,5684,0.304910908,0.409570154
2020-07-04T00:00:00,11,30.0,4.4,334,7220,0.336201824,0.418508694
2020-07-04T00:00:00,14,0.0,1.8,36,1716,,
2020-07-05T00:00:00,1,4.0,3.3,36,970,0.538407329,0.657933042
2020-07-05T00:00:00,2,5.0,3.3,80,2177,0.462408759,0.490770901
2020-07-05T00:00:00,3,3.0,1.8,12,929,0.450379451,0.516666667
2020-07-05T00:00:00,4,4.0,4.8,32,869,0.375841584,0.404580153
2020-07-05T00:00:00,5,1.0,2.4,11,410,0.558762887,0.539792388
2020-07-05T00:00:00,6,3.0,1.9,25,1550,0.457384705,0.468164794
2020-07-05T00:00:00,7,10.0,4.5,46,881,0.329268293,0.377394636
2020-07-05T00:00:00,8,14.0,3.8,86,1902,0.41745531,0.550191571
2020-07-05T00:00:00,9,6.0,3.6,47,1601,0.458224163,0.558139535
2020-07-05T00:00:00,10,23.0,4.4,136,3655,0.324206867,0.435523114
2020-07-05T00:00:00,11,30.0,4.5,236,5332,0.363195057,0.428529325
2020-07-05T00:00:00,14,0.0,1.9,25,1550,,
2020-07-06T00:00:00,1,4.0,3.4,45,1335,0.517618041,0.631732169
2020-07-06T00:00:00,2,6.0,3.3,62,2438,0.492153285,0.467969598
2020-07-06T00:00:00,3,4.0,1.9,35,1560,0.449415205,0.535416667
2020-07-06T00:00:00,4,4.0,4.5,26,1103,0.356831683,0.41475827
2020-07-06T00:00:00,5,1.0,2.6,9,576,0.548337596,0.484320557
2020-07-06T00:00:00,6,3.0,2.1,28,1313,0.468476357,0.47752809
2020-07-06T00:00:00,7,10.0,4.6,52,1307,0.333333333,0.352490421
2020-07-06T00:00:00,8,15.0,3.7,86,2549,0.436207501,0.572413793
2020-07-06T00:00:00,9,7.0,3.7,84,1797,0.461426492,0.554263566
2020-07-06T00:00:00,10,23.0,4.2,191,4853,0.334289439,0.454176805
2020-07-06T00:00:00,11,28.0,4.3,171,5227,0.374374816,0.432066018
2020-07-06T00:00:00,14,0.0,2.1,28,1313,,
2020-07-07T00:00:00,1,3.0,3.2,22,791,0.482381959,0.593886463
2020-07-07T00:00:00,2,5.0,3.3,78,2420,0.470964207,0.447339848
2020-07-07T00:00:00,3,4.0,1.9,21,1215,0.417398946,0.514583333
2020-07-07T00:00:00,4,4.0,4.5,64,1079,0.362563901,0.452926209
2020-07-07T00:00:00,5,2.0,2.2,8,753,0.51203277,0.480836237
2020-07-07T00:00:00,6,3.0,2.1,55,2090,0.445231769,0.503745318
2020-07-07T00:00:00,7,10.0,4.6,62,1664,0.310162602,0.33908046
2020-07-07T00:00:00,8,14.0,3.8,110,3034,0.406239047,0.546360153
2020-07-07T00:00:00,9,5.0,3.8,82,2068,0.433187773,0.543927649
2020-07-07T00:00:00,10,25.0,3.9,211,6856,0.315995137,0.447250509
2020-07-07T00:00:00,11,27.0,4.1,206,6641,0.35701677,0.41290893
2020-07-07T00:00:00,14,0.0,2.1,55,2090,,
2020-07-08T00:00:00,1,4.0,3.4,40,1090,0.453840733,0.589519651
2020-07-08T00:00:00,2,6.0,3.4,103,2890,0.433034899,0.419109663
2020-07-08T00:00:00,3,4.0,1.9,54,2634,0.385294118,0.485416667
2020-07-08T00:00:00,4,4.0,4.5,63,1459,0.364701289,0.503816794
2020-07-08T00:00:00,5,2.0,2.2,26,1287,0.49692623,0.505190311
2020-07-08T00:00:00,6,2.0,2.0,32,2077,0.418757467,0.507490637
2020-07-08T00:00:00,7,9.0,4.4,71,2050,0.290243902,0.312260536
2020-07-08T00:00:00,8,15.0,3.6,126,3506,0.362600771,0.507279693
2020-07-08T00:00:00,9,5.0,3.9,92,2359,0.402037846,0.551679587
2020-07-08T00:00:00,10,25.0,4.1,344,6766,0.290448512,0.420621931
2020-07-08T00:00:00,11,27.0,4.1,305,7705,0.330759047,0.39227822
2020-07-08T00:00:00,14,0.0,2.1,32,1693,,
2020-07-09T00:00:00,1,4.0,3.7,57,1018,0.434460888,0.590975255
2020-07-09T00:00:00,2,5.0,3.3,87,2448,0.394770525,0.431053203
2020-07-09T00:00:00,3,4.0,1.9,20,1547,0.372058824,0.464583333
2020-07-09T00:00:00,4,4.0,4.9,86,1092,0.371406371,0.51653944
2020-07-09T00:00:00,5,2.0,2.8,41,722,0.480286738,0.5395189
2020-07-09T00:00:00,6,3.0,2.1,47,2141,0.391054699,0.488764045
2020-07-09T00:00:00,7,9.0,4.7,123,2130,0.268699187,0.312260536
2020-07-09T00:00:00,8,15.0,3.8,150,3433,0.333683842,0.472030651
2020-07-09T00:00:00,9,6.0,3.9,106,2372,0.380786026,0.547803618
2020-07-09T00:00:00,10,25.0,4.1,328,7423,0.275351014,0.39539663
2020-07-09T00:00:00,11,26.0,4.1,333,7820,0.306192998,0.374889478
2020-07-09T00:00:00,14,0.0,2.2,46,1966,,
2020-07-10T00:00:00,1,4.0,3.6,32,1095,0.433756166,0.590975255
2020-07-10T00:00:00,2,6.0,3.4,121,2835,0.399524593,0.449511401
2020-07-10T00:00:00,3,3.0,2.0,46,1617,0.377352941,0.45
2020-07-10T00:00:00,4,4.0,5.3,97,1527,0.358039216,0.480916031
2020-07-10T00:00:00,5,1.0,3.0,27,441,0.493080472,0.525951557
2020-07-10T00:00:00,6,3.0,2.0,56,3200,0.389241463,0.460674157
2020-07-10T00:00:00,7,9.0,4.7,83,1582,0.265853659,0.295019157
2020-07-10T00:00:00,8,15.0,3.8,99,2862,0.327374693,0.459831676
2020-07-10T00:00:00,9,6.0,3.9,70,2157,0.386899563,0.549095607
2020-07-10T00:00:00,10,26.0,4.4,321,5682,0.267810712,0.375256885
2020-07-10T00:00:00,11,25.0,4.1,388,8672,0.299586777,0.378386337
2020-07-10T00:00:00,14,0.0,2.2,55,2212,,
2020-07-11T00:00:00,1,4.0,3.9,82,1797,0.458421424,0.592430859
