Maeystown,"$14,432"
Magnolia,"$13,909"
Mahomet,"$21,990"
Makanda,"$20,937"
Malden,"$15,820"
Malta,"$20,839"
Manchester,"$13,728"
Manhattan,"$21,666"
Manito,"$18,345"
Manlius,"$16,842"
Mansfield,"$20,947"
Manteno,"$22,826"
Maple Park,"$21,932"
Mapleton,"$22,728"
Maquon,"$15,199"
Marengo,"$22,225"
Marietta,"$15,662"
Marine,"$18,133"
Marion,"$19,073"
Marissa,"$15,930"
Mark,"$18,912"
Markham,"$14,870"
Maroa,"$18,308"
Marquette Heights,"$17,935"
Marseilles,"$17,793"
Marshall,"$19,851"
Martinsville,"$14,706"
Martinton,"$16,208"
Maryville,"$27,634"
Mascoutah,"$21,569"
Mason,"$13,392"
Mason City,"$18,411"
Matherville,"$14,956"
Matteson,"$25,024"
Mattoon,"$18,186"
Maunie,"$10,165"
Maywood,"$14,915"
Mazon,"$21,890"
McCook,"$24,996"
McCullom Lake,"$20,350"
McHenry,"$23,272"
McLean,"$19,200"
McLeansboro,"$15,354"
McNabb,"$20,374"
Mechanicsburg,"$16,906"
Media,"$20,149"
Medinah,"$56,950"
Medora,"$11,052"
Melrose Park,"$16,206"
Melvin,"$16,383"
Mendon,"$15,267"
Mendota,"$17,731"
Menominee,"$14,518"
Meredosia,"$19,391"
Merrionette Park,"$22,497"
Metamora,"$20,200"
Metcalf,"$15,568"
Metropolis,"$15,967"
Middletown,"$14,478"
Midlothian,"$20,150"
Milan,"$17,608"
Milford,"$19,078"
Mill Creek,"$8,317"
Mill Shoals,"$14,355"
Milledgeville,"$19,220"
Millington,"$13,898"
Millstadt,"$21,914"
Milton,"$11,847"
Mineral,"$23,017"
Minier,"$19,478"
Minonk,"$17,688"
Minooka,"$26,054"
Modesto,"$14,356"
Mokena,"$26,737"
Moline,"$21,557"
Momence,"$17,836"
Monee,"$27,687"
Monmouth,"$15,839"
Montgomery,"$23,395"
Monticello,"$23,257"
Montrose,"$14,443"
Morris,"$22,256"
Morrison,"$20,179"
Morrisonville,"$18,324"
Morton,"$26,531"
Morton Grove,"$26,973"
Mound City,"$10,020"
Mound Station,"$17,413"
Mounds,"$11,035"
Mount Auburn,"$18,829"
Mount Carmel,"$16,391"
Mount Carroll,"$16,455"
Mount Clare,"$13,451"
Mount Erie,"$10,532"
Mount Morris,"$20,326"
Mount Olive,"$17,172"
Mount Prospect,"$26,464"
Mount Pulaski,"$18,616"
Mount Sterling,"$15,755"
Mount Vernon,"$16,268"
Mount Zion,"$22,784"
Moweaqua,"$18,195"
Muddy,"$13,384"
Mulberry Grove,"$15,105"
Muncie,"$14,822"
Mundelein,"$26,280"
Murphysboro,"$13,527"
Murrayville,"$15,353"
Naperville,"$44,235"
Naplate,"$16,459"
Naples,"$10,719"
Nashville,"$21,935"
Nason,"$15,866"
Nauvoo,"$18,150"
Nebo,"$12,468"
Nelson,"$15,043"
Neoga,"$15,173"
Neponset,"$19,846"
New Athens,"$17,627"
New Baden,"$19,268"
New Bedford,"$14,830"
New Berlin,"$19,313"
New Boston,"$15,593"
New Burnside,"$12,709"
New Canton,"$11,571"
New Douglas,"$14,617"
New Grand Chain,"$14,617"
New Haven,"$12,367"
New Holland,"$19,241"
New Lenox,"$25,161"
New Millford,"$22,937"
New Minden,"$17,942"
New Salem,"$19,351"
Newark,"$22,078"
Newman,"$17,971"
Newton,"$16,363"
Niantic,"$19,448"
