date,count,tested,percentage,Unknown tested,Unknown count,Unknown percentage,<20 tested,<20 count,<20 percentage,20-39 tested,20-39 count,20-39 percentage,30-39 tested,30-39 count,30-39 percentage,40-49 tested,40-49 count,40-49 percentage,50-59 tested,50-59 count,50-59 percentage,60-69 tested,60-69 count,60-69 percentage,70-79 tested,70-79 count,70-79 percentage,80+ tested,80+ count,80+ percentage
08-04,3.285714285714286,139.07142857142856,0.023626091422701598,0.0,0.0,,24.07142857142857,0.6428571428571428,0.026706231454005934,21.714285714285715,0.7857142857142857,0.036184210526315784,20.142857142857146,0.7857142857142858,0.03900709219858156,23.214285714285715,0.7857142857142858,0.03384615384615385,19.714285714285715,0.21428571428571427,0.010869565217391304,14.642857142857142,0.35714285714285715,0.024390243902439025,11.214285714285715,0.0,0.0,4.357142857142857,0.07142857142857142,0.01639344262295082
08-05,2.5714285714285716,118.21428571428572,0.02175226586102719,0.0,0.0,,20.0,0.6428571428571428,0.03214285714285714,19.285714285714285,0.6428571428571429,0.03333333333333334,17.07142857142857,0.5,0.029288702928870296,18.92857142857143,0.6428571428571428,0.03396226415094339,16.5,0.14285714285714285,0.008658008658008658,12.785714285714285,0.2857142857142857,0.0223463687150838,9.642857142857142,0.0,0.0,4.0,0.07142857142857142,0.017857142857142856
08-06,2.5714285714285716,118.21428571428572,0.02175226586102719,0.0,0.0,,20.0,0.6428571428571428,0.03214285714285714,19.285714285714285,0.6428571428571429,0.03333333333333334,17.07142857142857,0.5,0.029288702928870296,18.92857142857143,0.6428571428571428,0.03396226415094339,16.5,0.14285714285714285,0.008658008658008658,12.785714285714285,0.2857142857142857,0.0223463687150838,9.642857142857142,0.0,0.0,4.0,0.07142857142857142,0.017857142857142856
08-07,2.0,88.78571428571428,0.022526146419951733,0.0,0.0,,14.642857142857142,0.21428571428571427,0.014634146341463414,15.928571428571429,0.5714285714285714,0.03587443946188341,12.5,0.2857142857142857,0.022857142857142857,13.714285714285715,0.5,0.03645833333333333,12.285714285714285,0.14285714285714285,0.011627906976744186,9.428571428571429,0.21428571428571427,0.022727272727272724,7.285714285714286,0.0,0.0,3.0,0.07142857142857142,0.023809523809523808
08-08,2.0,88.78571428571428,0.022526146419951733,0.0,0.0,,14.642857142857142,0.21428571428571427,0.014634146341463414,15.928571428571429,0.5714285714285714,0.03587443946188341,12.5,0.2857142857142857,0.022857142857142857,13.714285714285715,0.5,0.03645833333333333,12.285714285714285,0.14285714285714285,0.011627906976744186,9.428571428571429,0.21428571428571427,0.022727272727272724,7.285714285714286,0.0,0.0,3.0,0.07142857142857142,0.023809523809523808
08-09,2.0,88.78571428571428,0.022526146419951733,0.0,0.0,,14.642857142857142,0.21428571428571427,0.014634146341463414,15.928571428571429,0.5714285714285714,0.03587443946188341,12.5,0.2857142857142857,0.022857142857142857,13.714285714285715,0.5,0.03645833333333333,12.285714285714285,0.14285714285714285,0.011627906976744186,9.428571428571429,0.21428571428571427,0.022727272727272724,7.285714285714286,0.0,0.0,3.0,0.07142857142857142,0.023809523809523808
08-10,5.642857142857142,223.42857142857144,0.025255754475703322,0.0,0.0,,40.285714285714285,1.1428571428571428,0.028368794326241134,34.85714285714286,1.2857142857142856,0.03688524590163934,32.42857142857143,0.9285714285714285,0.028634361233480173,39.57142857142857,1.0714285714285714,0.02707581227436823,29.57142857142857,0.5,0.016908212560386476,23.785714285714285,0.42857142857142855,0.018018018018018018,16.857142857142858,0.14285714285714285,0.00847457627118644,6.071428571428571,0.07142857142857142,0.011764705882352941
08-11,5.642857142857143,236.21428571428572,0.02388872089507106,0.0,0.0,,42.285714285714285,1.1428571428571428,0.027027027027027025,36.5,1.2857142857142856,0.03522504892367906,34.642857142857146,0.9285714285714285,0.0268041237113402,42.07142857142857,1.1428571428571428,0.027164685908319185,31.357142857142854,0.5,0.015945330296127564,25.357142857142854,0.3571428571428571,0.014084507042253521,17.42857142857143,0.14285714285714285,0.008196721311475409,6.571428571428571,0.07142857142857142,0.010869565217391304
08-12,5.928571428571429,248.07142857142858,0.023898646703138498,0.0,0.0,,44.64285714285714,1.2142857142857142,0.027200000000000002,38.357142857142854,1.4285714285714286,0.037243947858473,36.214285714285715,0.9285714285714285,0.025641025641025637,43.64285714285714,1.1428571428571428,0.02618657937806874,33.14285714285714,0.5,0.015086206896551727,26.785714285714285,0.42857142857142855,0.016,18.214285714285715,0.14285714285714285,0.00784313725490196,7.071428571428571,0.07142857142857142,0.0101010101010101
08-13,4.071428571428571,189.35714285714286,0.021501320256506976,0.0,0.0,,35.07142857142857,1.0,0.028513238289205704,26.5,1.0,0.03773584905660377,28.57142857142857,0.5714285714285714,0.02,35.57142857142857,0.6428571428571428,0.018072289156626505,25.571428571428573,0.3571428571428571,0.013966480446927372,19.785714285714285,0.21428571428571427,0.010830324909747292,13.642857142857142,0.21428571428571427,0.015706806282722512,4.571428571428571,0.0,0.0
08-14,4.642857142857142,187.35714285714286,0.02478078536027449,0.0,0.0,,35.5,1.1428571428571428,0.03219315895372233,26.571428571428573,1.0714285714285714,0.04032258064516129,27.642857142857146,0.6428571428571428,0.02325581395348837,34.42857142857143,0.7857142857142857,0.022821576763485476,25.28571428571429,0.42857142857142855,0.016949152542372878,19.92857142857143,0.21428571428571427,0.01075268817204301,13.214285714285714,0.2857142857142857,0.021621621621621623,4.714285714285714,0.0,0.0
08-15,4.642857142857142,202.5,0.02292768959435626,0.0,0.0,,38.714285714285715,1.2142857142857142,0.03136531365313653,29.07142857142857,1.0,0.0343980343980344,29.285714285714285,0.6428571428571428,0.02195121951219512,37.214285714285715,0.6428571428571428,0.017274472168905947,27.57142857142857,0.5,0.018134715025906738,21.714285714285715,0.21428571428571427,0.009868421052631578,13.857142857142858,0.3571428571428571,0.025773195876288655,5.0,0.0,0.0
